Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
Hester Thrale,Literature,Female,1741,"Caernarfonshire, Wales",1,Q291322,1741-01-27,24645296,22309,1821-05-02,Thrale,Mrs,,https://commons.wikimedia.org/wiki/File:Hester_Thrale_(cropped).jpg,"patron of the arts, salonnière, diarist, writer",patron of the arts
"Edward Thurlow, 1st Baron Thurlow","Military, Politics, and Law",Male,1731,"Bracon Ash, Norfolk, England, United Kingdom",5,Q44599,1731-12-09,48787202,27406,1806-09-12,Thurlow,Lord,,"https://commons.wikimedia.org/wiki/File:Edward_Thurlow,_Baron_Thurlow_by_Sir_Thomas_Lawrence.jpg","judge, lawyer, politician",judge
Tibullus,Literature,Male,-50,"Gabii, Italy",7,Q109598,-50,1.00E+08,,-19,Tibullus,,,https://commons.wikimedia.org/wiki/File:Tibullus.jpg,"poet, elegist",poet
Thomas Tickell,Literature,Male,1685,"Bridekirk, Cumbria, England",1,Q2427631,1685-12-17,2.26E+08,27432,1740-04-21,Tickell,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Tickell_by_Sylvester_Harding.jpg,writer,writer
John Tillotson,Religion,Male,1630,"Sowerby, West Yorkshire, United Kingdom",5,Q676049,1630-10-10,29588767,27449,1694-11-22,Tillotson,John,,"https://commons.wikimedia.org/wiki/File:John_Tillotson_by_Sir_Godfrey_Kneller,_Bt.jpg","priest, writer",priest
Theodore Tilton,Literature,Male,1835,"New York, United States",10,Q7782071,1835-10-02,788790,,1907-05-29,Tilton,Theodore,,https://commons.wikimedia.org/wiki/File:Theodore_Tilton_c1870.jpg,"journalist, editor, poet, writer",journalist
John Tobin,Literature,Male,1770,"Salisbury, Wiltshire, England, United Kingdom",5,Q15515137,1770-01-28,39726414,27485,1804-12-07,Tobin,John,,,playwright,playwright
Leo Tolstoy,Literature,Male,1828,"Yasnaya Polyana, Tula, Russia",10,Q7243,1828-08-28,96987389,,1910-11-07,Tolstoi,Count,,https://commons.wikimedia.org/wiki/File:L.N.Tolstoy_Prokudin-Gorsky.jpg,"writer, playwright, philosopher, novelist, pedagogue, essayist, children's writer, diarist, prose writer, opinion journalist, Esperantist",writer
Augustus Toplady,Literature,Male,1740,"Farnham, Surrey, England",8,Q712167,1740-11-04,60028923,27555,1778-08-11,Toplady,A,M,https://commons.wikimedia.org/wiki/File:AugustusMToplady.jpg,"cleric, poet, hymnwriter, writer",cleric
Cyril Tourneur,"Military, Politics, and Law",Male,1575,"Kinsale, County Cork, Ireland",3,Q1148705,1575,1.01E+08,27582,1626-02-28,Tourneur,Cyril,,,"diplomat, soldier, writer, playwright",diplomat
James Townley,Religion,Male,1714,"Barking, London, England, United Kingdom",4,Q6144371,1714-05-06,40582713,27606,1778-07-05,Townley,James,,https://commons.wikimedia.org/wiki/File:Portrait_of_James_Townley_(1714-1778).png,cleric,cleric
John Townsend Trowbridge,Literature,Male,1827,"Ogden, Monroe County, New York, United States of America",10,Q6261093,1827-09-18,71608936,,1916-02-12,Trowbridge,John,T,https://commons.wikimedia.org/wiki/File:John_Townsend_Trowbridge_at_age_45.jpg,writer,writer
John Trumbull,Arts,Male,1756,Lebanon,1,Q369263,1756-06-06,56862633,68303,1843-11-10,Trumbull,John,,https://commons.wikimedia.org/wiki/File:Self_Portrait_by_John_Trumbull_circa_1802.jpeg,"painter, architect",painter
Josiah Tucker,Industry and Finance,Male,1713,"Laugharne, Carmarthenshire, Wales",7,Q3186047,1713,,27790,1799-11-04,Tucker,Dean,,"https://commons.wikimedia.org/wiki/File:Josiah_Tucker,_Dean_of_Gloucester_02259.jpg",economist,economist
"Sir Samuel Tuke, 1st Baronet",Literature,Male,1615,"Essex, England, United Kingdom",1,Q3471250,1615,57914006,27807,1674,Tuke,Sir Samuel,,,"linguist, playwright, translator, military officer",linguist
Martin Farquhar Tupper,Literature,Male,1810,"Greater London, England, United Kingdom",7,Q1237247,1810-07-17,44385259,27822,1889-11-01,Tupper,Martin,F,https://commons.wikimedia.org/wiki/File:Martin_F._Tupper.jpg,"poet, writer, barrister",poet
Thomas Tusser,Literature,Male,1524,"Essex, England, United Kingdom",1,Q2427809,1524-10-19,27413121,27898,1580-05-03,Tusser,Thomas,,,"writer, poet",writer
Mark Twain,Literature,Male,1835,"Florida, Missouri, United States",10,Q7245,1835-11-30,50566653,,1910-04-21,Twain,Mark,,https://commons.wikimedia.org/wiki/File:MarkTwain.LOC.jpg,"journalist, novelist, autobiographer, teacher, humorist, children's writer, travel writer, aphorist, science fiction writer, writer, prose writer, opinion journalist",journalist
Ludwig Uhland,Literature,Male,1787,"Tübingen, Baden-Württemberg, Germany",9,Q61058,1787-04-26,73943536,,1862-11-13,Uhland,Johann,L,https://commons.wikimedia.org/wiki/File:Uhland.jpg,"linguist, poet, lyricist, politician, lawyer, literary historian, university teacher, poet lawyer, writer",linguist
Johann Martin Usteri,Literature,Male,1763,"Zürich, Switzerland",8,Q118932,1763-04-12,8184035,,1827-07-29,Usteri,J,M,https://commons.wikimedia.org/wiki/File:Johann_Martin_Usteri_-_Dichter.jpg,"poet, writer",poet
Valerius Maximus,History and Philosophy,Male,100,"Rome, Italy",4,Q379991,100,44316768,,,Valerius,Maximus,,https://commons.wikimedia.org/wiki/File:Valère_Maxime_;_La_Chronique_de_Nuremberg_;_p._259_-_f._93.jpg,"historian, writer, poet",historian
Henry van Dyke,Literature,Male,1852,"Germantown, Philadelphia, Pennsylvania, United States",10,Q950959,1852-11-10,2458987,,1933-04-10,Van,Dyke,Henry,https://commons.wikimedia.org/wiki/File:Portrait_of_Henry_van_Dyke.jpg,"writer, diplomat, poet",writer
John Vanbrugh,Literature,Male,1664,"City of London, London, England, United Kingdom",9,Q333398,1664-01-24,7398042,28059,1726-03-26,Vanbrugh,Sir John,,https://commons.wikimedia.org/wiki/File:John_Vanbrugh.jpg,"playwright, architect, writer",playwright
Harry Stoe Van Dyk,Literature,Male,1798,"London, England, United Kingdom",9,Q50379703,1798,3.04E+08,,1828-06-05,Vandyk,H,S,,,
Marcus Terentius Varro,Literature,Male,-116,"Rieti, Italy",7,Q206119,-116,1.00E+08,,-27,Varro,,,https://commons.wikimedia.org/wiki/File:Marco_Terenzio_Varrone.jpg,"writer, poet, music theorist, philosopher, Ancient Roman historian, grammarian, annalist, Ancient Roman military personnel",writer
Henry Vaughan,Literature,Male,1621,"Llansantffraed, Wales",2,Q545363,1621-04-17,41848288,28130,1695-04-23,Vaughan,Henry,,,"physician, economist, poet, writer, translator",physician
"Luc de Clapiers, marquis de Vauvenargues",Literature,Male,1715,"Aix-en-Provence, Bouches-du-Rhône, France",9,Q551730,1715-08-06,64016636,,1747-05-28,Vauvenargues,,,https://commons.wikimedia.org/wiki/File:LucdeClapiers-marquisdeVauvenarges.jpg,"writer, essayist, military personnel, philosopher",writer
Publius Flavius Vegetius Renatus,History and Philosophy,Male,401,Ancient Rome,7,Q4298,400,1.63E+08,,450,Vegetius,,,"https://commons.wikimedia.org/wiki/File:Flavius_vegetius_renatus,_de_rei_militari_libri_IV,_parigi_1535.jpg","writer, military personnel, historian, physician, official",writer
Ralph Venning,"Military, Politics, and Law",Male,1621,"Devon, England, United Kingdom",9,Q7288194,1621,12654953,28194,1673,Venning,Ralph,,https://commons.wikimedia.org/wiki/File:Wenceslas_Hollar_-_Ralph_Venning.jpg,civil servant,civil servant
Claude Louis Hector de Villars,"Military, Politics, and Law",Male,1653,"Moulins, Allier, France",4,Q158654,1653-05-08,76402320,,1734-06-17,Villars,Marechal,,https://commons.wikimedia.org/wiki/File:0_'Le_maréchal_de_Villars'_-_Rigaud_-_Vaux-le-Vicomte.jpg,"diplomat, military personnel",diplomat
François Villon,Literature,Male,1431,"Paris, France",9,Q849,1431-04-01,7398349,,1463,Villon,,,https://commons.wikimedia.org/wiki/File:Francois_Villon_1489.jpg,"poet, lyricist, writer",poet
Virgil,Literature,Male,-70,"Borgo Virgilio, Italy",7,Q1398,-70-10-15,8194433,,-19-09-21,Virgil,,,https://commons.wikimedia.org/wiki/File:Parco_della_Grotta_di_Posillipo5_(crop).jpg,"poet, writer",poet
Constantin-François Chassebœuf,History and Philosophy,Male,1757,"Craon, Mayenne, France",8,Q466093,1757-02-03,41847810,,1820-04-25,Volnet,,,"https://commons.wikimedia.org/wiki/File:Volney,_Constantin_François_Chassebœuf_de_La_Giraudais,_comte.jpg","explorer, politician, historian, philosopher, French moralist, agronomist, writer",explorer
Volney,History and Philosophy,Male,1757,"Craon, France",7,,1757-02-03,,,1820-04-25,Volney,,,,,
Voltaire,Literature,Male,1694,"Paris, France",4,Q9068,1694-11-21,36925746,68321,1778-05-30,Voltaire,,,https://commons.wikimedia.org/wiki/File:Nicolas_de_Largillière_-_Portrait_de_Voltaire_(1694-1778)_en_1718_-_P208_-_Musée_Carnavalet_-_2.jpg,"philosopher, poet, historian, essayist, playwright, autobiographer, diarist, poet lawyer, science fiction writer, encyclopédistes, correspondent, political scientist, writer",philosopher
J. Augustine Wade,Arts,Male,1796,"Dublin, Ireland",8,Q6104640,1796-07-15,9739753,28379,1845-09-29,Wade,J,A,,"conductor, composer, songwriter",conductor
John Wolcot,Literature,Male,1738,"Dodbrooke, Devon, England",4,Q707652,1738-05-09,24590473,29828,1819-01-14,Walcott,John(Peter Pinard),,https://commons.wikimedia.org/wiki/File:John_Wolcot_by_John_Opie_detail.jpg,"writer, poet, physician",writer
William Walker,Literature,Male,1623,"Hanley Castle, England, UK",7,Q18546974,1623-01-17,1.00E+08,28516,1684-01-17,Walker,William,,,"schoolmaster, author",schoolmaster
William Ross Wallace,Literature,Male,1819,"Lexington, Fayette County, Kentucky, United States",10,Q8017787,1819,36835499,,1881-05-05,Wallace,William,R,,"poet, writer",poet
Edmund Waller,Literature,Male,1606,"Coleshill, Buckinghamshire, United Kingdom",1,Q1033351,1606-03-03,47109686,28556,1687-10-21,Waller,Edmund,,https://commons.wikimedia.org/wiki/File:Edmund_Waller_by_John_Riley.jpg,"poet, politician, writer",poet
Horace Walpole,Literature,Male,1717,"London, England, United Kingdom",7,Q309903,1717-09-24,17231985,28596,1797-03-02,Walpole,Horace,,https://commons.wikimedia.org/wiki/File:Horace_Walpole.jpg,"writer, novelist, autobiographer, politician, art collector",writer
Robert Walpole,"Military, Politics, and Law",Male,1676,"Houghton, Norfolk, Norfolk, England, United Kingdom",5,Q104190,1676-08-26,98289961,28601,1745-03-18,Walpole,Sir Robert,,https://commons.wikimedia.org/wiki/File:Retuched_Painting_of_Robert_Walpole.jpg,"politician, art collector",politician
Izaak Walton,Literature,Male,1593,"Stafford, Staffordshire, England, United Kindgom",4,Q562133,1593-08-09,73863052,28653,1683-12-15,Walton,Izaak,,https://commons.wikimedia.org/wiki/File:Izaak_Walton.jpg,"writer, biographer",writer
Thomas Warburton,Industry and Finance,Male,1817,"Leigh, Lancashire, England",1,,1817,,,1879,Warburton,Thomas,,,,
Charles Farrar Browne,Literature,Male,1834,"Maine, United States",10,Q1064338,1834-04-26,52482810,,1867-03-06,Ward,Artemus,,https://commons.wikimedia.org/wiki/File:ArtemusWard.jpg,"comedian, writer, journalist",comedian
Mary Augusta Ward,Literature,Female,1851,"Hobart, Tasmania, Australia",10,Q952452,1851-06-11,27084321,36736,1920-03-24,Ward,Mary,A,https://commons.wikimedia.org/wiki/File:Mrs_Humphry_Ward_(Mary_Augusta_Ward_(née_Arnold))_by_Julian_Russell_Story.jpg,"writer, novelist, children's writer, literary editor",writer
Samuel Ward,"Military, Politics, and Law",Male,1577,"Haverhill, Suffolk, England, United Kingdom",9,Q7412878,1577,37002584,28704,1640,Ward,Thomas,,https://commons.wikimedia.org/wiki/File:Samuel_Ward_(1577–1640).jpg,,
"Elizabeth, Lady Wardlaw",Literature,Female,1677,"Fife, Scotland",3,Q5362226,1677,2.38E+08,28721,1727,Wardlaw,Lady,,,"poet, writer",poet
William Warner,Literature,Male,1558,"London, England, United Kingdom",9,Q527196,1558,70046176,28770,1609,Warner,William,,,"poet, writer",poet
Thomas Warton,Literature,Male,1728,"Basingstoke, Hampshire, England",5,Q1971218,1728-01-09,44371601,28799,1790-05-21,Warton,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Warton_by_Reynolds.jpg,"writer, poet, historian, literary critic, literary historian",writer
George Washington,"Military, Politics, and Law",Male,1732,"Westmoreland County, Virginia, United States",5,Q23,1732-02-22,31432428,61288,1799-12-14,Washington,George,,https://commons.wikimedia.org/wiki/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,"politician, farmer, cartographer, geometer, engineer, statesperson, revolutionary, writer, army officer",politician
Nixon Waterman,Literature,Male,1859,"Newark, Illinois, United States",10,Q15452745,1859-11-12,4003775,,1944-09-01,Waterman,Nixon,,https://commons.wikimedia.org/wiki/File:NixonWaterman.PNG,"journalist, poet",journalist
William Watson,Religion,Male,1559,"United Kingdom,",9,Q8020077,1559-04-01,8789018,28873,1603-12-09,Watson,William,,,Catholic priest,Catholic priest
Isaac Watts,Literature,Male,1674,"Southampton, Hampshire, England",1,Q537034,1674-07-17,17298403,28888,1748-11-25,Watts,Isaac,,https://commons.wikimedia.org/wiki/File:Isaac_Watts_from_NPG.jpg,"theologian, philosopher, poet, hymnwriter, writer",theologian
Charles Henry Webb,Literature,Male,1834,"New York, United States",10,Q1064824,1834-01-24,41407485,,1905-05-24,Webb,Charles,H,https://commons.wikimedia.org/wiki/File:Charles_Henry_Webb_1902.jpg,"poet, journalist, writer",poet
John Webster,Literature,Male,1578,"London, England, United Kingdom",5,Q225904,1578,39387027,28943,1634,Webster,John,,,"playwright, poet, writer",playwright
Daniel Webster,"Military, Politics, and Law",Male,1782,"Salisbury, New Hampshire, United States",3,Q106231,1782-01-18,4944460,,1852-10-25,Webster,Daniel,,https://commons.wikimedia.org/wiki/File:Francis_Alexander_-_Daniel_Webster_-_Google_Art_Project.jpg,"politician, diplomat, lawyer, writer",politician
Amelia B. Coppuck Welby,Literature,Female,1819,"Saint Michaels, Talbot County, Maryland, United States",8,Q40485084,1819-02-03,77900699,,1852-05-03,Welby,Amelia,B,https://commons.wikimedia.org/wiki/File:Amelia_B._Coppuck_Welby.png,"poet, writer",poet
William V Wells,Literature,Male,1826,"Boston, Massachusetts, United States",8,,1826,,,1876,Wells,William,V,,,
Charles Wesley,Religion,Male,1707,"North Lincolnshire, United Kingdom",8,Q349070,1707-12-18,117440,29067,1788-03-29,Wesley,Charles,,https://commons.wikimedia.org/wiki/File:Charles_Wesley.jpg,"theologian, philosopher, writer, hymnwriter, cleric",theologian
John Wesley,Religion,Male,1703,"Epworth, Lincolnshire, England, United Kingdom",5,Q213393,1703-06-17,19686646,29069,1791-03-02,Wesley,John,,https://commons.wikimedia.org/wiki/File:John_Wesley_by_George_Romney.jpg,"Methodist pastor, diarist, philosopher, translator, hymnwriter, missionary, priest, writer, theologian",Methodist pastor
William Whewell,History and Philosophy,Male,1794,"Lancaster, Lancashire, England, United Kingdom",7,Q333922,1794-05-24,29606152,29200,1866-03-06,Whewell,William,,https://commons.wikimedia.org/wiki/File:Portrait_of_W._Whewell;_stipple_engraving_Wellcome_L0014766.jpg,"economist, physicist, historian, philosopher, writer, university teacher, mathematician, geologist, theologian, art historian",economist
Henry Kirke White,Literature,Male,1785,"Nottingham, Nottinghamshire, England",7,Q5724396,1785-03-21,32736220,29245,1806-10-19,White,Henry,Kirke,https://commons.wikimedia.org/wiki/File:Henry_Kirke_White_by_Thomas_Barber.jpg,"poet, writer",poet
Walt Whitman,Literature,Male,1819,"Long Island, New York, United States",10,Q81438,1819-05-31,2478331,,1892-03-26,Whitman,Walt,,https://commons.wikimedia.org/wiki/File:Walt_Whitman_-_George_Collins_Cox.jpg,"carpenter, writer, publisher, essayist, printer, nurse, school teacher, journalist, poet, novelist",carpenter
John Greenleaf Whittier,Literature,Male,1807,"Haverhill, Massachusetts, United States",5,Q458372,1807-12-17,19723987,,1892-09-07,Whittier,John,G,https://commons.wikimedia.org/wiki/File:John_Greenleaf_Whittier_November_25_1885.jpg,"writer, poet, journalist, lawyer",writer
George Whyte-Melville,Literature,Male,1821,"Mount Melville near St. Andrews, Scotland",7,Q5546247,1821-06-19,64441906,29343,1878-12-05,Whyte-Melville,George,J,https://commons.wikimedia.org/wiki/File:George_Whyte-Melville_Vanity_Fair_23_September_1871.jpg,"poet, writer",poet
Rezin A. Wight,"Military, Politics, and Law",Male,1836,"Baltimore, Maryland, United States",9,,1836,,,"January 06, 1890",Wight,Rezin,A,,,
Ella Wheeler Wilcox,Literature,Female,1850,"Janesville, Wisconsin, United States",10,Q448376,1850-11-05,28363141,,1919-10-30,Wilcox,Ella,W,https://commons.wikimedia.org/wiki/File:Ella_Wheeler_Wilcox_cph.3b16503.jpg,"poet, writer",poet
Oscar Wilde,Literature,Male,1854,"Dublin, Ireland",10,Q30875,1854-10-16,34464414,29400,1900-11-30,Wilde,Oscar,F,"https://commons.wikimedia.org/wiki/File:Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_photograph,_seated.jpg","poet, playwright, short story writer, journalist, children's writer, novelist, writer, author, prose writer, opinion journalist, essayist, fabulist",poet
Richard Henry Wilde,"Military, Politics, and Law",Male,1789,"Dublin, Ireland",8,Q1693934,1789-09-24,53253258,,1847-09-10,Wilde,Richard,H,https://commons.wikimedia.org/wiki/File:RichardHenryWilde.jpg,"politician, poet, lawyer, university teacher, writer",politician
Emma Willard,Society,Female,1787,"Berlin, Connecticut, United States",8,Q175615,1787-02-23,54499159,,1870-04-15,Willard,Emma,,https://commons.wikimedia.org/wiki/File:Portrait_of_Emma_Willard.jpg,"writer, head teacher, women's rights activist",writer
William III of England,"Military, Politics, and Law",Male,1650,"The Hague, Netherlands",4,Q129987,1650-11-14,1.00E+08,29450,1702-03-08,William of Orange,,,"https://commons.wikimedia.org/wiki/File:G._Kneller_-_Willem_III_(1650-1702),_prins_van_Oranje,_koning_van_Engeland_-_C252_-_Cultural_Heritage_Agency_of_the_Netherlands_Art_Collection.jpg","politician, monarch",politician
Theodore Chickering Williams,Literature,Male,1855,"Brookline, Massachusetts, United States",10,Q7781731,1855-07-02,41406150,,1915-05-06,Williams,Theodore,C,,"hymnwriter, translator",hymnwriter
Helen Maria Williams,Literature,Female,1759,"London, England, United Kingdom",8,Q525710,1759-06-17,,29509,1827-12-15,Williams,Helen,M,https://commons.wikimedia.org/wiki/File:HelenMariaWilliams.jpg,"poet, translator, writer, novelist",poet
Roger Williams,Religion,Male,1603,"London, England, United Kingdom",8,Q391591,1603-12-21,41882851,29544,1684,Williams,Roger,,https://commons.wikimedia.org/wiki/File:Roger_Williams_statue_by_Franklin_Simmons.jpg,"theologian, politician, grammarian, writer, ethnologist, debater, statesperson, Christian minister, official, preacher, pastor",theologian
